Distance_cm,Model,MSE,RMSE,RÂ²,MAE
18.0,CNN 2D,0.9749,0.9874,0.8058,0.5185
18.0,CNN 2D + Attention,0.9741,0.9870,0.8060,0.5110
18.0,MLP Baseline,1.0826,1.0405,0.7841,0.5932
28.0,CNN 2D,0.4882,0.6987,0.9282,0.3754
28.0,CNN 2D + Attention,0.4947,0.7033,0.9273,0.3750
28.0,MLP Baseline,0.5535,0.7440,0.9188,0.4446
38.0,CNN 2D,0.9890,0.9945,0.8697,0.5070
38.0,CNN 2D + Attention,0.9814,0.9907,0.8708,0.5002
38.0,MLP Baseline,1.0428,1.0212,0.8627,0.5713
48.0,CNN 2D,0.9047,0.9511,0.8535,0.5030
48.0,CNN 2D + Attention,0.8937,0.9454,0.8551,0.4915
48.0,MLP Baseline,0.9473,0.9733,0.8465,0.5553
58.0,CNN 2D,1.0273,1.0136,0.8025,0.5897
58.0,CNN 2D + Attention,1.0289,1.0144,0.8022,0.5867
58.0,MLP Baseline,1.0793,1.0389,0.7925,0.6426
68.0,CNN 2D,0.5804,0.7618,0.8831,0.4292
68.0,CNN 2D + Attention,0.5632,0.7504,0.8866,0.4213
68.0,MLP Baseline,0.6269,0.7918,0.8737,0.4801
78.0,CNN 2D,0.9555,0.9775,0.8303,0.5474
78.0,CNN 2D + Attention,0.9494,0.9744,0.8314,0.5383
78.0,MLP Baseline,1.0277,1.0138,0.8175,0.6090
